time,ShortWave,Cloud,AirTemp,RelHum,WindSpeed,Rain
2020-01-01 00:00:00,0.0,0.05,15.4,80,1.33,0.0
2020-01-01 01:00:00,0.0,0.0,14.6,85,1.3,0.0
2020-01-01 02:00:00,0.0,0.0,14.1,88,1.08,0.0
2020-01-01 03:00:00,0.0,0.02,14.2,89,0.85,0.0
2020-01-01 04:00:00,0.0,0.38,14.1,89,0.73,0.0
2020-01-01 05:00:00,0.0,0.45,13.8,90,1.03,0.0
2020-01-01 06:00:00,44.0,0.39,13.2,93,1.7,0.0
2020-01-01 07:00:00,193.0,0.28,16.5,76,1.89,0.0
2020-01-01 08:00:00,363.0,0.27,18.6,64,1.79,0.0
2020-01-01 09:00:00,619.0,0.19,20.9,54,0.63,0.0
2020-01-01 10:00:00,819.0,0.17,23.3,45,0.42,0.0
2020-01-01 11:00:00,990.0,0.13,25.7,37,1.28,0.0
2020-01-01 12:00:00,1070.0,0.08,27.5,30,1.72,0.0
2020-01-01 13:00:00,1086.0,0.05,28.7,27,2.0,0.0
2020-01-01 14:00:00,1038.0,0.02,29.4,26,2.19,0.0
2020-01-01 15:00:00,934.0,0.0,30.1,24,2.55,0.0
2020-01-01 16:00:00,771.0,0.0,30.0,25,3.11,0.0
2020-01-01 17:00:00,569.0,0.0,29.0,28,3.85,0.0
2020-01-01 18:00:00,347.0,0.0,26.9,35,4.88,0.0
2020-01-01 19:00:00,134.0,0.0,23.5,46,5.51,0.0
2020-01-01 20:00:00,7.0,0.0,20.6,55,5.41,0.0
2020-01-01 21:00:00,0.0,0.0,19.0,63,4.55,0.0
2020-01-01 22:00:00,0.0,0.04,18.0,68,3.74,0.0
2020-01-01 23:00:00,0.0,0.16,17.3,73,2.91,0.0
2020-01-02 00:00:00,0.0,0.23,16.8,77,2.31,0.0
2020-01-02 01:00:00,0.0,0.32,16.4,81,1.92,0.0
2020-01-02 02:00:00,0.0,0.33,16.1,84,1.75,0.0
2020-01-02 03:00:00,0.0,0.22,15.7,85,1.42,0.0
2020-01-02 04:00:00,0.0,0.35,15.2,88,1.08,0.0
2020-01-02 05:00:00,0.0,0.33,14.8,92,1.12,0.0
2020-01-02 06:00:00,33.0,0.52,15.2,90,1.44,0.0
